"YEAR","geography","arrest_dirc","arrest_simp","arrest_wt","jail_dirc","jail_simp","jail_wt"
1977,"rural",3491.34169496634,3552.76775131291,3487.17837991056,0,0,0
1977,"small/mid",4235.56016748242,4075.3879873298,4235.56016748242,0,0,0
1977,"suburb",3515.66662152658,3815.40292329342,3515.66662152658,0,0,0
1977,"urban",5019.06644236187,5431.59201242962,5019.06644236187,0,0,0
1978,"rural",NA,NA,NA,3057.99638931658,3394.83347069714,3057.08744863738
1978,"small/mid",NA,NA,NA,3090.47680230339,3304.23584947327,3090.47680230339
1978,"suburb",NA,NA,NA,1843.99607637617,3112.63338829069,1843.99607637617
1978,"urban",NA,NA,NA,3156.65541004206,3712.07259768571,3156.65541004206
1979,"rural",NA,NA,NA,3167.17177979186,3399.43980122196,3166.36876473669
1979,"small/mid",NA,NA,NA,3230.07009488834,3453.51000434087,3230.07009488834
1979,"suburb",NA,NA,NA,1919.52929465792,3119.30445397062,1919.52929465792
1979,"urban",NA,NA,NA,3273.74076507949,3829.0702119594,3273.74076507949
1980,"rural",NA,NA,NA,3289.13992473706,3472.12824108071,3289.13992473706
1980,"small/mid",NA,NA,NA,3371.71316042305,3614.01917254117,3371.71316042305
1980,"suburb",NA,NA,NA,1993.25213609665,3141.7542098532,1993.25213609665
1980,"urban",NA,NA,NA,3377.44287631362,3937.54382086636,3377.44287631362
1981,"rural",3596.18094411502,3603.42808315758,3596.18094411502,3428.09214110198,3557.60793790835,3428.09214110198
1981,"small/mid",4434.46634018542,4163.55343571448,4434.46634018542,3518.20921843488,3777.99819465557,3518.20921843488
1981,"suburb",3683.66605828066,3798.8163358853,3683.66605828066,2074.11080607838,3198.69240334774,2074.11080607839
1981,"urban",5185.80433089702,5745.66286570385,5185.80433089702,3473.8018142831,4039.77653570333,3473.8018142831
1982,"rural",3597.82101698734,3565.82469905963,3597.82101698734,3568.86369283637,3635.9914044887,3568.86369283637
1982,"small/mid",4532.54332970358,4204.67785628934,4532.54332970358,3664.32982371698,3939.37111469535,3664.32982371698
1982,"suburb",3805.6821028559,3948.00564968523,3805.6821028559,2153.27991129015,3251.41092569215,2153.27991129015
1982,"urban",5436.60275183501,5865.02842285202,5436.60275183501,3565.67687894465,4147.45182755839,3565.67687894465
1983,"rural",3470.75470419403,3420.6417187195,3470.75470419403,3806.39998207416,3883.77182351244,3806.39998207416
1983,"small/mid",4453.36822325499,4000.75837045554,4453.36822325499,3833.64203936071,4163.73631015127,3833.64203936071
1983,"suburb",3624.86350931932,3732.67198703669,3624.86350931932,2258.5481514765,3393.23121644107,2258.5481514765
1983,"urban",5255.12891438945,5876.08709281933,5255.12891438945,3653.24877070586,4247.06316155201,3653.24877070586
1984,"rural",3421.77798579987,3322.88720285758,3421.77798579987,3786.53925790403,3862.40459004619,3786.53925790403
1984,"small/mid",4462.21658674845,3990.11045059724,4462.21658674844,3681.89323510301,4012.61284652186,3681.89323510301
1984,"suburb",3538.10848757455,3728.02465508862,3538.10848757455,2340.45873085532,3410.41598339376,2340.45873085532
1984,"urban",4884.87296286389,5908.81216201543,4884.87296286389,3599.23890822297,4233.10980191065,3599.23890822297
1985,"rural",3438.81425635447,3042.02697401632,3438.81425635447,3798.32247576193,3885.38665249329,3798.32247576193
1985,"small/mid",4605.67487298485,3846.35352613645,4605.67487298485,3535.3284236028,3898.47850289474,3535.3284236028
1985,"suburb",3682.70725425442,3542.90630363244,3682.70725425442,2418.60237447197,3421.54430578044,2418.60237447197
1985,"urban",5235.07863406886,5869.56961183327,5235.07863406886,3540.38371366269,4211.2607396461,3540.38371366269
1986,"rural",3551.76913102387,3147.23889679666,3551.76913102387,3758.06837021979,3836.45127188423,3758.06837021979
1986,"small/mid",4803.38319575822,3988.71240449727,4803.38319575822,3603.84303174787,3889.3599577488,3603.84303174787
1986,"suburb",3756.22910014379,3625.9732499597,3756.22910014379,2472.28321147385,3429.78479440795,2472.28321147385
1986,"urban",5273.51153101374,5946.2874539571,5273.51153101374,3652.10129120344,4343.4581371752,3652.10129120344
1987,"rural",3015.01761678618,2642.05557264064,3015.01761678618,3833.37150831309,3887.23127658102,3833.37150831309
1987,"small/mid",4404.73547629569,3551.33698163225,4404.73547629569,3745.08967571097,3985.99597826898,3745.08967571097
1987,"suburb",3244.93316084519,3107.41985815249,3244.93316084519,2454.15798599405,3450.49137537759,2454.15798599405
1987,"urban",5095.56425235666,5589.31980070036,5095.56425235665,3538.42471665736,4237.96441654909,3538.42471665736
1988,"rural",3379.99847444145,3096.55376503994,3379.99847444145,3903.30187012412,3929.20714339957,3903.30187012411
1988,"small/mid",4624.29312846569,4084.85301654672,4624.2931284657,4145.8044559384,4292.62463951636,4145.8044559384
1988,"suburb",3591.59876556022,3706.94433631934,3591.59876556022,2623.72788789577,3521.49008886752,2623.72788789577
1988,"urban",5140.44394865435,6265.12246280535,5140.44394865435,4182.47081086733,4704.33916561483,4182.47081086733
1989,"rural",3899.44965935385,3373.22372710799,3899.44965935385,3818.94244651037,3933.08576672814,3818.94244651037
1989,"small/mid",4918.05785972331,4352.48386864242,4918.05785972331,4180.85926913322,4296.20165279045,4180.85926913322
1989,"suburb",3779.84252574373,3891.64800372145,3779.84252574373,2780.78441369489,3602.80442339726,2780.78441369489
1989,"urban",5525.29614891034,6696.71502489477,5525.29614891034,4036.62506924561,4904.94692818226,4036.62506924561
1990,"rural",4131.83455384704,3536.5761012908,4131.83455384704,3948.26994554557,4038.80059855721,3948.26994554557
1990,"small/mid",5374.45431666775,4447.05949848869,5374.45431666775,4183.81100452519,4416.47464836942,4183.81100452519
1990,"suburb",4109.72787574011,3986.92385452003,4109.72787574011,2902.24454354035,3758.22532164209,2902.24454354035
1990,"urban",5787.20477377412,6548.20744787433,5787.20477377412,4024.5553163197,5143.13576526619,4024.5553163197
1991,"rural",3974.16422962236,3456.6200507774,3974.16422962236,4047.16392396733,4129.00543219395,4047.16392396733
1991,"small/mid",4943.34659128566,4222.34773779021,4943.34659128566,4223.78857676247,4494.69324255297,4223.78857676247
1991,"suburb",3935.8260136284,3895.99087308981,3935.8260136284,2758.38907019392,3696.96282173605,2758.38907019392
1991,"urban",5479.27695140734,6189.77539616568,5479.27695140734,4077.42162383751,5042.88036434587,4077.42162383751
1992,"rural",4117.63236719993,3614.62295032715,4117.63236719993,4101.49822084355,4174.80514580466,4101.49822084355
1992,"small/mid",5272.01843305226,4538.49165582577,5272.01843305226,4240.79668257073,4569.73477442663,4240.79668257073
1992,"suburb",3882.01086908623,3961.18755418022,3882.01086908623,2776.63000408919,3728.40721979592,2776.63000408919
1992,"urban",5457.14797012348,6306.39552958316,5457.14797012348,4030.0592469453,4998.35420872095,4030.0592469453
1993,"rural",NA,NA,NA,4153.82585109348,4219.28852977013,4153.82585109348
1993,"small/mid",NA,NA,NA,4258.29101346104,4632.72916906282,4258.29101346104
1993,"suburb",NA,NA,NA,2795.79027568477,3757.73975635935,2795.79027568477
1993,"urban",NA,NA,NA,3993.15231674344,4966.16783299675,3993.15231674344
1994,"rural",4621.35893619191,4056.2706246338,4621.35893619191,4200.31708460463,4251.73901478897,4200.31708460463
1994,"small/mid",5510.75476616636,4830.68105737466,5510.75476616636,4281.70900971411,4722.22622170834,4281.70900971411
1994,"suburb",4100.57134877837,4459.97294754779,4100.57134877837,2818.29984703534,3750.50109257456,2818.29984703534
1994,"urban",5458.42644564854,6380.43605718952,5458.42644564854,3959.92010043945,4942.63319690309,3959.92010043945
1995,"rural",4725.93262841758,4160.35808894646,4725.93262841758,4248.30673529205,4288.35757292241,4248.30673529205
1995,"small/mid",5513.14757702152,4940.12076313736,5513.14757702152,4309.70221379064,4773.22197210098,4309.70221379064
1995,"suburb",3930.02503298261,4352.05734307836,3930.02503298261,2835.60935717163,3762.33874320595,2835.60935717163
1995,"urban",5473.75698560923,6466.3990034103,5473.75698560923,3927.92625908733,4927.39920746785,3927.92625908733
1996,"rural",4631.60549419638,4104.26160847806,4631.60549419638,4303.70128694241,4335.93014011393,4303.70128694241
1996,"small/mid",5324.32499932263,4840.70279450105,5324.32499932263,4340.71215628959,4842.56634845337,4340.71215628959
1996,"suburb",3789.44006722588,4422.10254023275,3789.44006722588,2852.58020969209,3777.67764544196,2852.58020969209
1996,"urban",5109.54879244593,5881.88529255308,5109.54879244593,3890.7901784205,4907.77539028995,3890.7901784205
1997,"rural",4748.23007114619,4189.76809790557,4748.23007114619,4363.25242297067,4386.5819803763,4363.25242297067
1997,"small/mid",5374.56182950241,4873.43203600564,5374.56182950241,4369.09460199494,4909.86885474257,4369.09460199494
