"YEAR","geography","arrest_dirc","arrest_simp","arrest_wt","jail_dirc","jail_simp","jail_wt"
1981,"rural",3807.72303302222,3585.00439670887,3807.72303302222,3429.43932722553,3536.15583014573,3429.43932722553
1981,"small/mid",4526.50545505143,4180.3514825751,4526.50545505143,3700.8369261378,3781.15698471546,3700.8369261378
1981,"suburb",3704.3302908136,3801.41547042954,3704.3302908136,2110.87924440685,3191.07120315216,2110.87924440685
1981,"urban",5394.77793528429,5825.6868464067,5394.77793528429,3436.65253269375,3963.12726780415,3436.65253269375
1982,"rural",3783.63465775655,3536.22174106453,3783.63465775655,3656.25682437687,3666.87909203677,3656.25682437687
1982,"small/mid",4592.45413530088,4217.10191421292,4592.45413530088,3863.12067506554,3976.44518517983,3863.12067506554
1982,"suburb",3823.17588055851,3950.12330634422,3823.17588055851,2196.26415658041,3268.05834552549,2196.26415658041
1982,"urban",5598.34906001494,5919.9795407992,5598.34906001494,3534.50946222833,4089.76154967824,3534.50946222833
1983,"rural",3658.73630302049,3414.63340201212,3658.73630302049,3917.11609548601,3940.01387178613,3917.11609548601
1983,"small/mid",4512.08149787964,4014.24388217145,4512.08149787964,4045.02165711736,4197.54954697989,4045.02165711735
1983,"suburb",3636.19422501407,3729.1655566008,3636.19422501407,2306.72117201378,3415.39462604105,2306.72117201378
1983,"urban",5467.81271493908,5963.68708153972,5467.81271493908,3609.09364983903,4181.23896962658,3609.09364983903
1984,"rural",3645.29351678192,3321.65052328627,3645.29351678192,3918.00273274062,3925.92432296955,3918.00273274062
1984,"small/mid",4538.71821187447,4005.26159461502,4538.71821187447,3897.05880415655,4064.37078729002,3897.05880415655
1984,"suburb",3573.51451545994,3725.37271669851,3573.51451545994,2387.83674741971,3405.83906127842,2387.83674741971
1984,"urban",5047.94266327113,5956.11320357279,5047.94266327113,3578.91546811627,4185.97137201199,3578.91546811627
1985,"rural",3466.17123145402,3037.69114394794,3466.17123145402,3876.97408003266,3882.66708597972,3876.97408003266
1985,"small/mid",4605.41317531843,3858.54834766124,4605.41317531843,3723.41382476038,3898.47850289474,3723.41382476038
1985,"suburb",3674.87735841038,3536.24744237963,3674.87735841038,2470.38964696782,3421.54430578044,2470.38964696782
1985,"urban",5373.18354917193,5906.73837796013,5373.18354917193,3547.46892009552,4180.93496452912,3547.46892009552
1986,"rural",3571.36932865197,3142.2705528931,3571.36932865197,3837.22625018797,3833.4830260068,3837.22625018797
1986,"small/mid",4799.64751719322,3997.17922733797,4799.64751719322,3795.62873378328,3889.3599577488,3795.62873378328
1986,"suburb",3741.57780799707,3592.36379734196,3741.57780799707,2525.15686196504,3429.78479440795,2525.15686196504
1986,"urban",5409.13699532581,5980.44562921478,5409.13699532581,3662.50074627179,4314.45671035926,3662.50074627179
1987,"rural",3109.95584648777,2675.05985963081,3109.95584648777,3765.16591406858,3742.88798088279,3765.16591406858
1987,"small/mid",4420.91428058429,3653.80332382184,4420.91428058429,3882.36544581578,3858.36070203318,3882.36544581578
1987,"suburb",3278.60215819523,3223.03675845406,3278.60215819523,2473.20425184408,3378.06288079136,2473.20425184408
1987,"urban",5262.72618529002,5689.18447012401,5262.72618529002,3488.70139558353,4139.95566221246,3488.70139558353
1988,"rural",3581.20500145757,3076.30769522711,3581.20500145757,3805.5164857803,3754.93127238969,3805.5164857803
